label,sentence1,sentence2
1,É uma sociedade tão falsa Eu quero abrir os olhos deles a esse fato Vamos nos apressar e fechar este negócio,abrir os olhos
1,"Não pensava tanto em abrir os olhos de todos, mas em lhes direcionar a visão corretamente",abrir os olhos
1,Acho que o pessoal está começando a abrir os olhos para esse tipo de coisa,abrir os olhos
1,O senhor afirma que Israel precisa “abrir os olhos para a realidade” e resolver a questão do Oriente Médio em outros termos que não os militares,abrir os olhos
1,"Quero abrir os olhos das pessoas e lhes mostrar quem somos nós, os refugiados",abrir os olhos
0,"É o seguinte Antes do jantar, por que não arrumamos a casa juntos?",arrumar a casa
0,Eu arrumei a casa inteira. Cortei buracos nos quadros e tudo mais,arrumar a casa
0,"Assim que termino de comer lavo a louça, arrumo a casa rapidinho e vou deitar, amanhã é dia e eu to morta de cansaço",arrumar a casa
0,"você organiza a festa, arruma a casa, contrata a melhoria das instalações da casa, arruma os móveis e no dia da festa é proibido de entrar na casa",arrumar a casa
1,"Dado esse contexto, mais uma vez foi alargada a janela de oportunidade para que o Brasil arrume a casa",arrumar a casa
1,"Não concordo quando ele diz que Michel Temer está arrumando a casa Ela foi aberta para limpeza com a saída de Dilma Rousseff, mas falta muito para o trabalho se concluir",arrumar a casa
1,O presidente Itamar Franco vai entrar para a história do Brasil como o governante que arrumou a casa para o presidente que você vai eleger dentro de três meses e meio.,arrumar a casa
1,"A gente vem há quase dois anos juntos, arrumando a casa, tem um time bom, uma camisa, uma história e acredita nisso",arrumar a casa
1,"Começamos arrumando a casa, equilibrando as contas do governo, cortando gastos e indo atrás dos sonegadores de impostos para aumentar a arrecadação.",arrumar a casa
0,Fizemos algumas animações específicas para retratar o construtor o trabalhador que bate o martelo e aquele que passa a massa,bater o martelo
0, É cada vez mais difícil bater o martelo para uma plateia lotada que disputa voz a voz antiguidades e obras de arte. Os leilões presenciais estão dando espaço aos virtuais,bater o martelo
1,Digamos que você abre a sessão sem convidar os jurados e bate o martelo antes de ouvir as testemunhas,bater o martelo
1,"Segundo Barbosa o governo avalia a questão das receitas extraordinárias antes de bater o martelo sobre a revisão ""Isso ainda não é uma decisão tomada",bater o martelo
1,"A Globo bateu o martelo sobre a formação do elenco de ""The Voice Kids"" que estreia em janeiro",bater o martelo
1,O leilão de negócios foi instalado. Agora resta saber se o PMDB vai bater o martelo,bater o martelo
0,"Chaves fraturou os dois braços e uma perna quando foi ejetado da aeronave, e quase se afogou após cair de paraquedas no Lago Trúc Bạch",cair de paraquedas
0,O jogo consiste de até no total de cinquenta jogadores que caem de paraquedas em uma ilha em busca de armas e equipamentos a fim de matar os outros jogadores ,cair de paraquedas
0,"Quando o grupo caiu de paraquedas na floresta de Starosaltovskiy, Shcherbak aterrissou em uma árvore e quebrou as pernas quando saltou da árvore",cair de paraquedas
0,"A bomba que caiu de paraquedas foi encontrada intacta e parada na vertical, devido seu paraquedas ter se enganchado em uma árvore",cair de paraquedas
0,Um dos pilotos morreu no momento em que caía de paraquedas depois de ejetar-se do avião,cair de paraquedas
1,O Airbnb e os outros sites caíram de paraquedas no meio do olho do furacão,cair de paraquedas
1,Gonçalves caiu de paraquedas na presidência,cair de paraquedas
1,Mostre-me uma fonte fiável que diga o contrário que poderás editar sem problema Caso contrário vou continuar achando que você caiu de paraquedas no artigo,cair de paraquedas
1,"O que o levou a fazer uma reestruturação geral na pasta —inclusive com exonerações de pessoas que ""caíram de paraquedas"" e assumiram cargos de confiança",cair de paraquedas
1,Um advogado especializado em seguros e que caiu de paraquedas no caso,cair de paraquedas
0,A rainha Elizabeth caiu do cavalo e quebrou um osso do pulso esquerdo,cair do cavalo
0,"Atingido por uma telha na cabeça lançada por uma mulher; tonto, ele caiu do cavalo e foi morto por um soldado",cair do cavalo
0,"Depois do nascimento de João, Irene caiu do cavalo, ficando de tal modo ferida que deixou de poder ter filhos",cair do cavalo
0,"O seu comandante diz-lhes para dispararem para o ar, mas cai do cavalo e instala-se o pânico",cair do cavalo
1,Por que o mundo apostou num favoritismo da Williams e caiu do cavalo? ,cair do cavalo
1,Quem tentar entender a eleição municipal como um plebiscito sobre o impeachment corre o risco de cair do cavalo,cair do cavalo
1,"Se o prefeito achou que ia fazer assistencialismo para se manter no cargo, ele caiu do cavalo",cair do cavalo
1,Os que ainda tinham a ilusão de fazer prova de filosofia só com interpretação de texto caíram do cavalo,cair do cavalo
0,Maços de notas de R$ 50 caíram do céu na região central de Recife (PE) em 9 de dezembro de 2015  O dinheiro era arremessado de uma janela do edifício onde vivia o então presidente da Hemobrás,cair do céu
0,"No apocalipse de São João, caiu do céu uma estrela que ardia sobre os rios, sobre as plantas, e os homens morreram, pois as águas se tornaram amargas",cair do céu
0,"Para entender, basta sacar que telescópios são como baldes que, em vez de água, juntam a luz que cai do céu",cair do céu
0,"Como um meteorito caído do céu, uma gigantesca peça de Tetris ou um achado arqueológico saído da terra, ele invade o espaço",cair do céu
0,O desenho mostra partes de um avião e um passageiro caindo do céu sobre um homem barbado que aparentemente veste uma túnica islâmica e carrega uma metralhadora,cair do céu
1,Essas questões ajudam as pessoas a ver que o procedimento científico não cai do céu,cair do céu
1,Parece que o dinheiro cai do céu e que todo mundo pode gastar o que quiser,cair do céu
1,"As investigações estão aí por causa de corrupção das pesadas, galopante, institucionalizada, de estado. A Lava Jato não caiu do céu para afastar investimentos",cair do céu
1,"O pedido de impeachment dele no Senado não caiu do céu, e o clima político é de reação corporativa",cair do céu
1,Algoritmos não caem do céu. Eles são escritos por seres humanos,cair do céu
0,"Não se esqueça que os mosquitos são comuns, e os donos por vezes deixam a porta aberta enquanto limpa",deixar a porta aberta
0,"Enquanto guarda as compras, ele deixa a porta aberta e alguém bate",deixar a porta aberta
0,"Quando Jerry volta, ele descobre que seu apartamento foi roubado porque Kramer deixou a porta aberta sem querer",deixar a porta aberta
0,"Quando ficava com ele no escritório à noite, ele fazia questão de deixar a porta aberta para que eu não me sentisse desconfortável",deixar a porta aberta
0,Tomei mais um gole do meu chá A mulher do Exército da Salvação deixou a porta aberta e eu fiquei bem sob a corrente de ar,deixar a porta aberta
1,"O brasileiro deixou a porta aberta para o sueco passar, mas o piloto sueco se precipitou acertando Felipe Massa",deixar a porta aberta
1,O alemão não ofereceu resistência e deixou a porta aberta para o britânico assumir a segunda posição,deixar a porta aberta
1,O grupo declarou que está deixando a porta aberta para Thornton e ela seria bem-vinda de volta caso decidisse juntar-se a elas mais tarde,deixar a porta aberta
1,"De outro lado, é marcante a aproximação com a Rússia, que permanece imune à ideia de deixar a porta aberta para os EUA contrabalançarem o poder da China",deixar a porta aberta
1,Eu preciso parecer curado Mas deixar a porta aberta para uma recaída para continuar vindo no próximo semestre,deixar a porta aberta
0,Não vai levar meu dinheiro suado e o deixar na mão de um maldito dono de bar,deixar na mão
1,"Posso não parecer rápido, mas minhas pernas nunca me deixaram na mão",deixar na mão
1,"Carta de drinques enxuta, mas feita com esmero Porções que fogem do gourmet e não deixam na mão",deixar na mão
1,"Isso parece ser um trabalho para a Ciência! Vamos lá, Ciência, não me deixe na mão!",deixar na mão
1,Mas a culpa dela estar em casa é minha Eu a deixei na mão,deixar na mão
0,"Tentei erguer a cabeça, mas senti dor Percebi que estava ferida",erguer a cabeça
0,"Um outro exemplo de gesto é o movimento de abaixar, erguer a cabeça e inflar os sacos vocais",erguer a cabeça
0,"Aqueles que forem meus amigos, que fechem os olhos. Os que acreditaram então fecham seus olhos e Perseu ergue a cabeça de Medusa",erguer a cabeça
0,"Che ergueu a cabeça, olhou todos diretamente nos olhos e pediu apenas para fumar",erguer a cabeça
0,"O outro se pôs de pé, ergueu a cabeça, os olhos perdidos no horizonte, e disse: Eu estou construindo uma catedral",erguer a cabeça
1,Tintim é um herói aqui. Chicago pode erguer a cabeça de novo. A máfia foi tirada de ação,erguer a cabeça
1,"Todos deram apoio e frisaram que, se ficarmos tristes, as coisas vão demorar a engrenar. O assunto principal foi sobre erguer a cabeça, disse o lateral direito Bruno",erguer a cabeça
1,"Apesar da demissão, Amy ergueu a cabeça e continuou em busca de seus ideias",erguer a cabeça
1,"Se o Lyle sair vivo da prisão, vocês hão-de fazer as pazes Esta noite erguemos a cabeça e prosseguimos!",erguer a cabeça
1,"Ergue a cabeça e segue a vida, palavras sábias da minha avó",erguer a cabeça
0,São apenas bactérias microscópicas que estão no sangue e se chamam Miricloridas,estar no sangue
0,"Em humanos, menos de 1% do magnésio está no sangue A maioria está armazenada nos ossos e o resto em tecido conectivo",estar no sangue
0,"Francine Agora o mutagênico está no sangue dela Oh, não! É isso que vai custar? A vida da sua filha",estar no sangue
1,Acho que mentir está no sangue dessa família,estar no sangue
1,Acho que provar coisas está no sangue dos Stone Como Chris provando que tem que fazer a cena do incêndio,estar no sangue
1,O garimpo é um negócio que está no sangue das pessoas,estar no sangue
1,"Era cantor por natureza, pois a música estava no sangue",estar no sangue
1,O gosto pelas artes e pela Boemia estava no sangue de Hearn,estar no sangue
0,Vou tomar meu banho e fazer uma limpeza de pele,fazer uma limpeza
0,"Antes de começar a guardar as roupas, a estudante costuma fazer uma limpeza geral no armário para tirar toda a poeira.",fazer uma limpeza
0,"A partir do momento em que se resolva isso e se faça uma limpeza do córrego, em dois dias ninguém vai perceber que houve esse vazamento",fazer uma limpeza
0,Uma pessoa faz uma limpeza no pasto de uma fazenda e recebe o equivalente a cinco gramas de ouro que desconta nas lojas compradoras de ouro,fazer uma limpeza
0,"Foi feita uma limpeza geral na estátua e na sua coroa que, corroída pelo tempo, foi substituída",fazer uma limpeza
1,"Twitter está fazendo uma limpeza em milhares de contas inativas, logo vamos perder dezenas de seguidores",fazer uma limpeza
1,A sociedade tem que fazer uma limpeza no Congresso Nacional,fazer uma limpeza
1,"Gente, fiz uma limpeza no artigo, tirei aquele monte de listas, existem artigos inteiros dedicados a fazer listas, e como eles estão aí, não existe qualquer motivo para manter a cópia das listas por aqui",fazer uma limpeza
1,A crise neste momento é mais do que bem vinda. Temos uma ótima oportunidade de fazer uma limpeza efetiva no futebol,fazer uma limpeza
1,Moro é um representante da nação. Ele está mostrando que a Polícia Federal está aí para fazer uma limpeza geral na corrupção,fazer uma limpeza
0,"Meu nariz entupiu. Se fechar a boca, não respiro",fechar a boca
0,"A canção é uma sátira ao uso excessivo do playback pelos cantores, que abrindo e fechando a boca, não precisam saber cantar e até se pode enganar que ninguém vê",fechar a boca
0,"Sujeitos com fraturas mandibulares possuem, frequentemente, dores e dificuldades em abrir e fechar a boca, e podem ter dormência no lábio e no queixo",fechar a boca
0,"A Corrente Dentada é como um cachorro que serve ao Rei Koopa, ele fica latindo e se alguém chegar perto ele geralmente abre e fecha a boca e da um impulso para frente acertando quem estiver perto",fechar a boca
0,"Os embalsamadores foram incapazes de fechar a boca ou colocá-la em posição reclinada, como de costume com outras múmias, mantendo assim sua expressão facial",fechar a boca
1,A presidente afirmou que não tem segredo para perder peso. Ela disse que é preciso fechar a boca e fazer ginástica,fechar a boca
1,Por favor tenham conhecimento de causa se não tem como provar o que dizem fechem a boca,fechar a boca
1,"Se você fechar a boca, não manifestar o que sente e obedecer todas as regras, ninguém vai tomar nota ou dar a mínima para a causa em que você acredita",fechar a boca
1,Os hippies nos dizem que devemos fazer. Por que não fecham a boca? a liberdade de expressão é meu direito muitos perderam a vida defendendo-o,fechar a boca
1,"Todo mundo fala: é só fechar a boca para emagrecer. Não, não é!",fechar a boca
0,"Logo que todos saíram da nave, Radamés fechou as portas e Amanda e Aurora foram à cabine",fechar as portas
0,É recomendável fechar as portas e janelas de casa para evitar que o gás entre ou sair para uma área externa,fechar as portas
0,"No lugar de se impor no momento em que, passada a polícia, não voltamos mais atrás, teve que ser adiada para quando se fecham as portas do avião –pois até lá os celulares, tablets e laptops nos mantêm com o cordão umbilical atado aos compromissos que ansiamos deixar para trás",fechar as portas
0,O metrô chegou a fechar as portas de estações centrais logo no início do confronto,fechar as portas
0,"Eu costumava chegar, fechar as portas, ficar por aqui e pensar: ""Esse lugar é todo meu"".",fechar as portas
1,"Não foi a única De 2000 a 2014, 28% das livrarias de Paris fecharam as portas, de acordo com levantamento da Agência de Planejamento Urbano da capital francesa",fechar as portas
1,Os contratos foram cancelados depois que o estaleiro fechou as portas alegando falta de dinheiro para concluir as obras,fechar as portas
1,"O gatilho para os britânicos foi a imigração do Leste Europeu e de partes da África Para o resto do mundo, não significa que o Reino Unido esteja fechando as portas",fechar as portas
1,Não ter ministras é como fechar as portas para aquilo que lutamos desde os anos 1970,fechar as portas
1,"O Hemorio, centro de coleta e distribuição de sangue, fechou as portas por um dia por falta de seringas",fechar as portas
0,"Não pude dormir naquela noite. Tive pesadelos, e, toda vez que fechava os olhos, revia o acidente claramente. Meu único desejo é levar flores a seu túmulo",fechar os olhos
0,"Patricia estudou a distrofia fácio-escápulo-humeral (FSH), que afeta uma em cada 20 mil pessoas na população caucasoide do mundo todo e começa com uma fraqueza nos músculos faciais que torna difícil fazer bico com os lábios e fechar os olhos",fechar os olhos
0,"O melhor exemplo para entendê-la é quando se fecham os olhos e, durante um momento, ainda é possível perceber o ambiente, como se os olhos estivessem abertos",fechar os olhos
0,"Era quase um mantra para o senador Marcelo Crivella, invariavelmente fechava os olhos, se esforçando para não esquecer nenhum país  ""Zimbábue, Zâmbia, Maláui, Quênia, Uganda, Madagascar, Lesoto, Suazilândia, Namíbia, Angola, Moçambique"", repetia, quase sempre na mesma ordem",fechar os olhos
0,"Pagou o charuto com as moedas e as notinhas amassadas que ainda restavam em seus bolsos. Sentiu as alfazemas como um perfume que lhe traria boas notícias, fechou os olhos e respirou profundamente o ar a loja de produtos esotéricos e saiu com o havano no bolso e ainda sem rumo.",fechar os olhos
1,"O mundo de hoje está muito necessitado de cabeças pensantes que não fecham os olhos, mas não quero fazer comício, pelo amor de Deus",fechar os olhos
1,"Como dizem por aí, não adianta reclamar dos políticos se entramos no jogo e fechamos os olhos para a bandalheira quando nos é conveniente. Parar em fila dupla, subornar policial, sonegar imposto, comprar produtos baratinhos graças a trabalho escravo ou torcer por um time comandado por bandidos é tudo a mesma coisa",fechar os olhos
1,"Embora haja muitas vezes expectativa de que os trabalhos se aproximam do fim, muitas vezes se encontram novos fatos, novas provas, e as instruções não podem simplesmente fechar os olhos",fechar os olhos
1,"Isso é lamentável, mas não desastroso —as pessoas mais velhas podem simplesmente fingir que não veem. Mas no caso da empresa conversacional, não há como fechar os olhos - ou os ouvidos. ",fechar os olhos
1,"Havia, para o então presidente israelense, duas questões em que devemos fechar os olhos e nos entregar: o amor e a paz",fechar os olhos
0,Então vocês foram longe demais. Voltem para o galpão anterior,ir longe
0,"Este é o grande motivo de pessoas viajarem Mas desde a invenção da TV, não precisa ir longe pra ver",ir longe
0,"Ele não irá longe Arqueiros! Estamos mortos, tão mortinhos",ir longe
0,Elas não podem ter ido longe,ir longe
0,Porque você não tira um cochilo? Prometo que não irei longe,ir longe
1,"Pessoal, acho que tudo isto já foi longe demais",ir longe
1,Isso já foi longe demais e precisamos resolver a questão,ir longe
1,"Quércia foi longe demais na encenação, até porque o eleitor já demonstrou, em pleitos anteriores, que sabe distinguir valentia de grosseria.",ir longe
1,"Claes admitiu que uma ação militar acarreta riscos de retaliação, mas disse que os sérvios foram longe demais com o ataque de sábado.",ir longe
1,"Na opinião do técnico, jogo não foi dramático, equipe mostrou-se pronta para ir longe e Zinho foi bem",ir longe
0,"Enfim, lavar as mãos ajuda, mas o vírus vai continuar sendo transmitido, causando 10% das infecções, vão continuar ocorrendo alguns casos de gravidade e algumas mortes",lavar as mãos
0,"Angelita é assumidamente vaidosa, com cabelos, roupas e unhas sempre impecáveis, estas pintadas de vermelho. Houve época em que ela só usava esmalte de cores claras, o que era ruim porque o povedine, substância presente no desinfetante usado para lavar as mãos antes da cirurgia, manchava as unhas",lavar as mãos
0,Ele tem medo de contágio. É verdade! Cumprimenta uma pessoa e corre pra lavar as mãos. Deve andar com um frasco de álcool gel no bolso,lavar as mãos
0,Os médicos que se preparavam para operar usavam garrafas de água com gás para lavar as mãos,lavar as mãos
0,"Em outro trecho, o laudo aponta que a equipe médica cometeu falhas como não lavar as mãos, não trocar os aventais cirúrgicos e partilhar instrumentos perfurantes entre pacientes",lavar as mãos
1,"Trata-se de uma tendência que já apareceu no primeiro turno, em 2 de outubro, quando 13,18% dos votantes em todo o país lavou as mãos e preferiu não dar o voto a nenhum dos candidatos na disputa",lavar as mãos
1,"A ordem passou a ser prender, processar, banir. No Brasil, Ministério Público, federações e organizadas lavam as mãos. É um jogo de empurra-empurra",lavar as mãos
1,"Peterson, pode pegar esse emprego e arranje outra pessoa. E tem mais: nunca lavei as mãos, sempre fui a favor dessa empresa! Essa regra é sua, não minha",lavar as mãos
1,"A defesa do voto nulo tem sido feita por partidos como PT e PSOL, sobretudo em cidades onde não há um candidato de esquerda no segundo turno. Os petistas, por exemplo, lavaram as mãos em 12 capitais. Mas a iniciativa não se restringe aos partidos",lavar as mãos
1,"Era a resposta oficial à barbárie: culpar a vítima pela violência que sofreu sob a custódia do Estado. Pouco depois, descobriu-se que o delegado não era a única autoridade a lavar as mãos no episódio. A juíza Clarice Maria de Andrade havia recebido um ofício em caráter de urgência pedindo a transferência da jovem",lavar as mãos
0,"Entretanto, ela pode se defender com mordidas e pode até matar um leão ao quebrar a mandíbula com seu forte coice. ",matar um leão
0,"Walter James Palmer, um dentista e caçador recreativo americano de Minnesota, pagou US $ 50000 para um caçador / guia profissional, Theo Bronkhorst, para auxiliá-lo a matar um leão.",matar um leão
0," Manuel I, de cuja casa era cavaleiro, foi capitão e alcaide-mor de Safim, onde fez muitas façanhas, entre elas a de matar um leão real",matar um leão
0,"Os leões eram rivais resistentes, porém já foi registrado um urso dominar 4 leoas e ainda matar um leão de 320kg em contraste com o urso que pesava 480kg",matar um leão
0,"De acordo com uma lenda, ele matou um leão com apenas uma haste de madeira. Era muito conhecido por sua luta de espadas",matar um leão
1,"Os profissionais da área de saúde, especialmente os do departamento de RH, matam um leão por dia para cumprirem sua missão, mas não sabemos até quando haverá fôlego para sobreviver",matar um leão
1,"Eles se sentem desrespeitados, ignorados e até mesmo humilhados por alguns professores. Apesar de ter que matar um leão por dia, tenho um enorme orgulho de ser professora",matar um leão
1,"Se você acredita na velha frase de que, no Brasil, é preciso matar um leão por dia, ponha-se no lugar de Tarzan",matar um leão
1,"Vocês não sabem como é No Congresso, matamos um leão por dia. Não podemos isolar o governo",matar um leão
1,"Eu tinha duas preocupações: entender o francês e o conteúdo das reuniões. Como expatriado, é preciso matar um leão por dia.",matar um leão
0,Acho que é o barco dele. O peixe mordeu a isca antes do que eu esperava,morder a isca
0,"O inseto mordeu a isca! Venha, aranha! Vou esmagar você com uma brisa",morder a isca
1,"Porém, Licínio Crasso não mordeu a isca e se manteve no encalço de Perseu",morder a isca
1,"O prefeito talvez não morda a isca, até porque tem a oportunidade de forçar sua mão mais à frente na disputa",morder a isca
1,Moro mordeu a isca lulista ao decidir que o ex-presidente deveria acompanhar os depoimentos das 87 testemunhas arroladas por sua defesa em outro caso na Lava Jato,morder a isca
1,Os russos morderam a isca,morder a isca
1,"Não vamos morder a isca. Se você está interessado no que ""The Donald"" tem a dizer, você achará isso perto de textos sobre as Kardashians e ""The Bachelorette""",morder a isca
0,A imagem ao lado mostra os dentes de um homem que estão totalmente contaminados,mostrar os dentes
0,"Até poucos anos atrás, o paraense que comia o fruto dessa palmeira, lavava a boca para que não ficasse roxa e revelasse que estava comendo. Hoje, mostra os dentes com orgulho do que é seu  ",mostrar os dentes
0,Ela vai rir sem mostrar os dentes e ainda fará cara de quem está se lembrando de algo,mostrar os dentes
1,"A Alemanha precisa desempenhar seu papel no mundo, mas sem tensão, sem mostrar os dentes.",mostrar os dentes
1,O nerd meiguinho mostrou os dentes esta semana quando o ator Simon Pegg criticou os filmes de super-heróis como infantis e sugeriu que a indústria do cinema havia emburrecido,mostrar os dentes
1,Seu filho Nelson fugiu do Acre trazendo no encalço um boliviano que se imiscui na vida do prédio e faz a classe média ressentida e aterrorizada mostrar os dentes,mostrar os dentes
0,"Todo mundo quer passar a mão no cabelo dela, é como se fosse uma princesa.",passar a mão
0,"Logo na entrada, apanhe um mapa em português com as principais indicações e não esqueça de passar a mão no nariz do javali, para dar sorte.",passar a mão
0,"A todo momento, passava a mão sobre o cabelo.",passar a mão
0,"Fiz tudo para ser expulso com o Cruyff: cuspi nele, passei a mão na bunda dele, mas nada.",passar a mão
0,"Pelo retrovisor, Sandra viu o interlocutor passar a mão na cabeça, pensativo.",passar a mão
0,"Quando ela passava a mão na cabeça, os cabelos ficavam aos montes entre os dedos.",passar a mão
1,Não serei passivo a tudo isso não. Não vou passar a mão na cabeça de ninguém,passar a mão
1,"Para o presidente da CBV, não é hora de passar a mão na cabeça dos jogadores.",passar a mão
1,Você passa a mão. Eu não! Você trapaceia no pôquer! ,passar a mão
1,"Do contrário, essa casa passa a ter dois pesos e duas medidas E nós aqui não estamos para passar a mão na cabeça de ninguém",passar a mão
1,"Não passo a mão na cabeça Se eu fizer isso estou contribuindo para o crime dele e se amanhã ou depois ele morrer, eu vou me sentir culpada",passar a mão
0,"Após pular a cerca de arame farpado, chegaram ao mar e, com botes e coletes improvisados com capas de chuva, encararam as águas da baía",pular a cerca
0,Pierson não resistiu à pressão política após a revelação de que um homem invadiu a Casa Branca após pular a cerca da residência oficial do presidente,pular a cerca
0,"Em 22 de outubro, um homem pulou a cerca da parte norte do terreno da mansão. Quando corria pelo jardim, foi atacado e contido pelos cães de guarda",pular a cerca
0,"Testemunhas citadas pelo jornal ""Los Angeles Times"" relataram ter visto uma mulher ensanguentada pedindo ajuda ao tentar pular a cerca de uma mansão",pular a cerca
0,"Não vai a lugar nenhum Acho que deveriamos correr e pular a cerca e chama a policia. Não, deveriamos espera aqui mesmo",pular a cerca
1," Ela nunca mais voltaria a confiar em mim. Não lhe quer estragar o casamento, pois não? Eu? Mas não sou eu quem anda pulando a cerca nas costas dela",pular a cerca
1,"Eu te amo! Quero o melhor para você. Se precisa pular a cerca, eu entendo. Mas que seja comigo",pular a cerca
1,"Trump pulou a cerca e fez um acordo com ""Chuck e Nancy"" para liberar recursos emergenciais para vítimas dos furacões Harvey e Irma e aumentar o teto do endividamento do governo",pular a cerca
1,"Homem casado que pula a cerca: comedor. Mulher que sai com homem casado, famoso, ainda por cima: piranha, oportunista, fácil",pular a cerca
1,"Geralmente homens que adoram pular a cerca. O que eles querem mesmo é defesa dos valores que fazem a mulher aceitar calada todo tipo de violência em nome da suposta ""família""",pular a cerca
0,Favor vir cá tirar me a areia que me pôs na cabeça,pôr na cabeça
0,"Despreocupado em ser politicamente correto, ainda no Tuca pôs na cabeça o chapéu vermelho que recebeu como presente do Movimento dos Trabalhadores Rurais",pôr na cabeça
0,Fábio não tem bandana para por na cabeça,pôr na cabeça
0,"Rabello diz que, quando certas pessoas conquistam algo, tiram a máscara",pôr na cabeça
1,Hilary põe na cabeça que as coisas podem ser diferentes,pôr na cabeça
1,"Toda feiura é, na verdade, um tabu que a sociedade põe na cabeça das pessoas",pôr na cabeça
1,Temos que entender e por na cabeça que acontece muita das vezes pra nos testar e ver o quanto somos fortes,pôr na cabeça
1,"As pessoas têm que por na cabeça que a forma como falam e aprendem a escrever é correta, respeitando a gramática e ortografia da língua na versão local",pôr na cabeça
0,"Não, vovó! Viu o que eu falei? Eles quebraram a cabeça do Leonardo",quebrar a cabeça
0,Duryodhan está por trás de tudo isso. Eu deveria quebrar a cabeça dele em dois,quebrar a cabeça
0,E nunca quebrou os meus! Espere ele chegar! Eu vou quebrar a cabeça dele! ,quebrar a cabeça
0,"Dizem que quando era criança, quebrou a cabeça de um dragão nas costas",quebrar a cabeça
0,"Você vai cair e quebrar a cabeça. Sabe, Shawn, você não precisa sempre usar a janela",quebrar a cabeça
1,"Enquanto os rivais São Paulo, Santos e Corinthians quebram a cabeça para superar a perda de seus jogadores para as seleções que disputam a Copa América Centenário, o Palmeiras aproveitou o fato de não ter nenhum atleta convocado e venceu o Flamengo por 2 a 1",quebrar a cabeça
1,"Letícia perguntou para mim: - Joana, você acha que eu sou legal? Foi quando eu pensei, pensei, quebrei a cabeça e respondi: - Depende, se gostar de si mesma, todos vão achar você legal",quebrar a cabeça
1,"Com o desmanche sofrido pelo Corinthians após o hexacampeonato brasileiro, parecia que Tite teria que quebrar a cabeça para encontrar um substituto para Renato Augusto",quebrar a cabeça
