label,sentence1,sentence2
1,"Homem casado que pula a cerca: comedor. Mulher que sai com homem casado, famoso, ainda por cima: piranha, oportunista, fácil",pular a cerca
0,Duryodhan está por trás de tudo isso. Eu deveria quebrar a cabeça dele em dois,quebrar a cabeça
1,"Com o desmanche sofrido pelo Corinthians após o hexacampeonato brasileiro, parecia que Tite teria que quebrar a cabeça para encontrar um substituto para Renato Augusto",quebrar a cabeça
0,"Maravilhoso, para quem não gosta de sujar as mãos passando pano no chão",sujar as mãos
1,"Um fator é a inapetência ocidental para sujar as mãos. Prova disso é o discurso de François Hollande falando em guerra, enquanto quem manda, Barack Obama, dizia não fazer sentido comprometer muitas tropas contra o EI",sujar as mãos
0,No encerramento do programa ele tirou a máscara e revelou seu rosto,tirar a máscara
1,"Rabello diz que, quando certas pessoas conquistam algo, tiram a máscara",tirar a máscara
0,Espere aí! Não dá para ver estrelas cadentes de dia,ver estrelas
1,Alguns veem estrelas quando batem a cabeça. Eu vejo dor,ver estrelas
0,"Ela vem da mandioca ralada, que é espremida e desidratada em chapa quente até virar pó",virar pó
1,Bloomberg foi eleito pouco depois do 11 de Setembro Milhares de empregos tinham virado pó,virar pó
0,Os policiais andarão entre os torcedores sem farda e poderão até vestir a camisa da torcida em que estiverem infiltrados.,vestir a camisa
1,"Amadeo não é filiado ao PT mas diz que, uma hora, tem que se vestir a camisa.",vestir a camisa
0,"Um dos prazeres dessa leitura é que, quando você vira a página, não tem certeza de quem será o próximo narrador",virar a página
1,O PSDB já virou a página das prévias e trabalha tão somente para tornar conhecido seu candidato e estruturar suas propostas,virar a página
